Date,Branch,SKU_ID,SKU,Brand,SKU_Category,NormalPrice,EffectivePrice,MinEffectivePrice,MaxEffectivePrice,DiscountPct,Promo_Category,Qty,Revenue,Transactions,Customers,prev_effective_price,prev_promo_category,price_change,price_change_pct
2025-05-21,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4900,3800,5500,10.62,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,97,507300,30,30,5287.0,No Promo | Promo Bundling | Promo Normal,-387.0,-7.32
2025-05-22,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5281,5000,5500,3.81,No Promo | Promo Bundling | Promo Normal,92,480900,28,28,4900.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,381.0,7.78
2025-05-23,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4900,3800,5500,10.62,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,96,497500,34,34,5281.0,No Promo | Promo Bundling | Promo Normal,-381.0,-7.21
2025-05-24,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5050,4400,5500,8.12,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,82,431300,33,33,4900.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,150.0,3.06
2025-05-25,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4995,4100,5500,9.08,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,89,460800,29,29,5050.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-55.0,-1.09
2025-05-26,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5005,3800,5500,8.75,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,134,682600,41,41,4995.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,10.0,0.2
2025-05-27,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5000,3800,5500,8.96,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,92,472300,37,37,5005.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-5.0,-0.1
2025-05-28,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4967,3800,5500,9.58,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,91,474000,33,33,5000.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-33.0,-0.66
2025-05-29,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5260,5000,5500,4.33,No Promo | Promo Bundling | Promo Normal,108,571100,32,32,4967.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,293.0,5.9
2025-05-30,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5058,4400,5500,7.92,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,87,457400,31,31,5260.0,No Promo | Promo Bundling | Promo Normal,-202.0,-3.84
2025-06-01,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5050,4400,5500,8.12,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,132,693100,45,45,5058.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-8.0,-0.16
2025-06-02,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4972,3800,5500,9.44,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,151,784200,54,54,5050.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-78.0,-1.54
2025-06-03,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4910,3800,5500,10.58,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,125,646100,43,43,4972.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-62.0,-1.25
2025-06-04,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4956,4100,5500,9.85,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,117,607500,38,38,4910.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,46.0,0.94
2025-06-05,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5256,5000,5500,4.44,No Promo | Promo Bundling | Promo Normal,97,508900,35,35,4956.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,300.0,6.05
2025-06-06,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4924,3800,5500,10.35,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,124,645900,43,43,5256.0,No Promo | Promo Bundling | Promo Normal,-332.0,-6.32
2025-06-07,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5258,5000,5500,4.37,No Promo | Promo Bundling | Promo Normal,115,603700,40,40,4924.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,334.0,6.78
2025-06-08,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4918,3800,5500,10.18,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,90,465900,36,36,5258.0,No Promo | Promo Bundling | Promo Normal,-340.0,-6.47
2025-06-09,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5039,4400,5500,8.39,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,110,571800,39,39,4918.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,121.0,2.46
2025-06-10,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5278,5000,5500,3.89,No Promo | Promo Bundling | Promo Normal,138,728300,45,45,5039.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,239.0,4.74
2025-06-11,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5009,4100,5500,8.84,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,109,567700,36,36,5278.0,No Promo | Promo Bundling | Promo Normal,-269.0,-5.1
2025-06-12,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4900,3800,5500,10.62,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,110,571800,39,39,5009.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-109.0,-2.18
2025-06-13,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5032,4400,5500,8.57,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,122,639600,39,39,4900.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,132.0,2.69
2025-06-14,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4962,3800,5500,9.38,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,125,654600,44,44,5032.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-70.0,-1.39
2025-06-15,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4961,4100,5500,9.72,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,128,662100,42,42,4962.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-1.0,-0.02
2025-06-16,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5056,4400,5500,7.97,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,146,758700,44,44,4961.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,95.0,1.91
2025-06-17,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5025,4100,5500,8.44,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,127,660000,36,36,5056.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-31.0,-0.61
2025-06-18,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4875,3800,5500,11.25,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,84,435000,27,27,5025.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-150.0,-2.99
2025-06-19,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4988,4100,5500,9.06,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,164,859100,51,51,4875.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,113.0,2.32
2025-06-20,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5278,5000,5500,3.89,No Promo | Promo Bundling | Promo Normal,115,609800,37,37,4988.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,290.0,5.81
2025-06-21,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4935,3800,5500,10.17,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,141,732900,47,47,5278.0,No Promo | Promo Bundling | Promo Normal,-343.0,-6.5
2025-06-22,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5020,4100,5500,8.57,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,139,722700,48,48,4935.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,85.0,1.72
2025-06-23,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4925,3800,5500,10.21,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,139,712800,49,49,5020.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-95.0,-1.89
2025-06-24,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5267,5000,5500,4.17,No Promo | Promo Bundling | Promo Normal,115,606100,36,36,4925.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,342.0,6.94
2025-06-25,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5036,4400,5500,8.47,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,121,632200,44,44,5267.0,No Promo | Promo Bundling | Promo Normal,-231.0,-4.39
2025-06-26,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5055,4400,5500,8.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,111,577900,35,35,5036.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,19.0,0.38
2025-06-27,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5042,4400,5500,8.33,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,122,636400,39,39,5055.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-13.0,-0.26
2025-06-28,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4972,3800,5500,9.44,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,156,801800,52,52,5042.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-70.0,-1.39
2025-06-29,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4986,3800,5500,9.11,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,122,622200,38,38,4972.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,14.0,0.28
2025-06-30,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5278,5000,5500,3.89,No Promo | Promo Bundling | Promo Normal,110,577900,35,35,4986.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,292.0,5.86
2025-07-01,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4962,3800,5500,9.69,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,101,518800,31,31,5278.0,No Promo | Promo Bundling | Promo Normal,-316.0,-5.99
2025-07-02,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5061,4400,5500,7.86,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,143,741100,46,46,4962.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,99.0,2.0
2025-07-03,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5273,5000,5500,4.0,No Promo | Promo Bundling | Promo Normal,133,694600,43,43,5061.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,212.0,4.19
2025-07-04,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4969,4100,5500,9.53,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,142,744500,47,47,5273.0,No Promo | Promo Bundling | Promo Normal,-304.0,-5.77
2025-07-05,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5062,4400,5500,7.81,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,88,459900,34,34,4969.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,93.0,1.87
2025-07-06,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5075,4400,5500,7.5,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,129,675500,41,41,5062.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,13.0,0.26
2025-07-07,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5021,4100,5500,8.54,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,120,631400,44,44,5075.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-54.0,-1.06
2025-07-08,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4950,3800,5500,9.69,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,118,615200,44,44,5021.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-71.0,-1.41
2025-07-09,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5267,5000,5500,4.17,No Promo | Promo Bundling | Promo Normal,93,487100,34,34,4950.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,317.0,6.4
2025-07-10,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5018,4100,5500,8.62,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,150,783100,48,48,5267.0,No Promo | Promo Bundling | Promo Normal,-249.0,-4.73
2025-07-11,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5270,5000,5500,4.09,No Promo | Promo Bundling | Promo Normal,137,714600,47,47,5018.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,252.0,5.02
2025-07-12,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4889,3800,5500,10.89,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,154,809700,55,55,5270.0,No Promo | Promo Bundling | Promo Normal,-381.0,-7.23
2025-07-13,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4952,3800,5500,9.65,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,130,674900,45,45,4889.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,63.0,1.29
2025-07-14,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4980,3800,5500,9.25,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,135,701600,44,44,4952.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,28.0,0.57
2025-07-15,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4900,3800,5500,10.62,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,118,622000,41,41,4980.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-80.0,-1.61
2025-07-16,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4971,3800,5500,9.36,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,158,817700,56,56,4900.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,71.0,1.45
2025-07-17,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5053,4400,5500,8.06,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,132,689400,41,41,4971.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,82.0,1.65
2025-07-18,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4942,3800,5500,9.81,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,132,675400,44,44,5053.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-111.0,-2.2
2025-07-19,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5273,5000,5500,4.02,No Promo | Promo Bundling | Promo Normal,126,655400,42,42,4942.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,331.0,6.7
2025-07-20,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4885,3800,5500,11.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,135,709100,48,48,5273.0,No Promo | Promo Bundling | Promo Normal,-388.0,-7.36
2025-07-21,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4953,3800,5500,9.78,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,167,860000,55,55,4885.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,68.0,1.39
2025-07-22,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4902,3800,5500,10.57,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,160,828300,56,56,4953.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-51.0,-1.03
2025-07-23,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4938,3800,5500,10.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,146,756100,45,45,4902.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,36.0,0.73
2025-07-24,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4969,3800,5500,9.53,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,141,736400,47,47,4938.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,31.0,0.63
2025-07-25,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5045,4400,5500,8.25,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,137,714400,44,44,4969.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,76.0,1.53
2025-07-26,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4902,3800,5500,10.57,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,104,533300,39,39,5045.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-143.0,-2.83
2025-07-27,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5252,5000,5500,4.52,No Promo | Promo Bundling | Promo Normal,123,642200,41,41,4902.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,350.0,7.14
2025-07-28,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4918,3800,5500,10.5,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,127,655600,42,42,5252.0,No Promo | Promo Bundling | Promo Normal,-334.0,-6.36
2025-07-29,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4875,3800,5500,11.25,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,95,487500,34,34,4918.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-43.0,-0.87
2025-07-30,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4892,3800,5500,10.83,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,121,633000,43,43,4875.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,17.0,0.35
2025-08-01,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,6100,5525,4300,6100,9.58,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,163,928600,56,56,4892.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,633.0,12.94
2025-08-02,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,6100,5631,4900,6100,7.81,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,97,573400,37,37,5525.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,106.0,1.92
2025-08-03,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,6100,5596,4900,6100,8.39,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,121,702700,49,49,5631.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-35.0,-0.62
2025-08-04,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,6100,5545,4300,6100,9.25,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,142,829600,48,48,5596.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-51.0,-0.91
2025-08-05,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,6100,5485,4300,6100,10.25,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,101,585500,35,35,5545.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-60.0,-1.08
2025-08-06,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,6100,5478,4300,6100,10.38,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,141,811500,55,55,5485.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-7.0,-0.13
2025-08-07,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,6100,5570,4600,6100,8.83,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,187,1087600,59,59,5478.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,92.0,1.68
2025-08-08,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,6100,5524,4300,6100,9.6,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,156,906000,45,45,5570.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-46.0,-0.83
2025-08-09,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,6100,5578,4600,6100,8.69,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,177,1024800,56,56,5524.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,54.0,0.98
2025-08-10,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,6100,5538,4300,6100,9.38,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,107,605300,40,40,5578.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,-40.0,-0.72
2025-08-11,Bandung,S001,Richeese Wafer Keju 50g,Richeese,Wafer,6100,5550,4300,6100,9.17,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,131,744500,48,48,5538.0,No Promo | Promo Bundling | Promo Normal | Promo Seasonal High,12.0,0.22
