Week,SKU_ID,SKU,Brand,SKU_Category,normal_list_price,normal_price,normal_qty,bundling_price,bundling_qty,promo_normal_price,promo_normal_qty,seasonal_price,seasonal_qty,total_qty,total_revenue,promo_type_count,normal_revenue,normal_transactions,bundling_revenue,bundling_transactions,promo_normal_revenue,promo_normal_transactions,seasonal_revenue,seasonal_transactions
2025-04-28,S011,Nabati Biskuit Rasa Kelapa,Richeese,Biskuit,5000.0,5000.0,725,5000.0,63,4643.24,408,3718.54,150,1346,6388600.0,4,3625000.0,228,315000.0,21,1895400.0,140,553200.0,48
2025-04-28,S012,Nabati Biskuit Rasa Cokelat,Richoco,Biskuit,5000.0,5000.0,693,5000.0,85,4667.77,438,3784.29,135,1351,6446400.0,4,3465000.0,225,425000.0,28,2042400.0,148,514000.0,48
2025-04-28,S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,4000.0,4000.0,773,2000.0,1711,3690.91,456,3032.1,166,3106,8700000.0,4,3092000.0,259,3422000.0,570,1683000.0,154,503000.0,52
2025-04-28,S014,Nabati Drinko Richoco 150ml,Richoco,Minuman,4000.0,4000.0,683,4000.0,58,3701.63,509,3016.29,130,1380,5238200.0,4,2732000.0,231,232000.0,21,1882800.0,176,391400.0,41
2025-04-28,S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,5500.0,5500.0,597,5500.0,86,5095.98,433,4122.74,141,1257,6545100.0,4,3283500.0,200,473000.0,27,2206000.0,150,582600.0,45
2025-04-28,S016,Richoco Wafer Hazelnut 50g,Richoco,Wafer,6000.0,6000.0,618,6000.0,61,5564.09,433,4479.03,140,1252,7113300.0,4,3708000.0,211,366000.0,24,2410800.0,159,628500.0,48
2025-04-28,S017,Nextar Choco Delight 40g,Nextar,Kue/Pie,7000.0,7000.0,749,7000.0,78,6428.98,406,5219.34,159,1392,9224700.0,4,5243000.0,240,546000.0,32,2607300.0,139,828400.0,54
2025-04-28,S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,7000.0,7000.0,706,7000.0,67,6423.03,397,5239.24,163,1333,8817300.0,4,4942000.0,237,469000.0,27,2549400.0,135,856900.0,54
2025-04-28,S019,Richeese Siip Jagung Bakar 20g,Richeese,Extruded Snack,3000.0,3000.0,713,3000.0,95,2754.66,451,2239.06,165,1424,4037100.0,4,2139000.0,238,285000.0,34,1243600.0,150,369500.0,55
2025-04-28,S020,Richeese Mi Instan Goreng,Richeese,Mi Instan,3500.0,3500.0,724,3500.0,87,3250.14,584,2572.24,139,1534,5096300.0,4,2534000.0,236,304500.0,26,1898800.0,183,359000.0,46
2025-05-05,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500.0,5500.0,1093,5200.0,2916,5082.33,783,4096.76,281,5073,26305600.0,4,6011500.0,372,15163200.0,963,3978200.0,265,1152700.0,88
2025-05-05,S002,Richoco Wafer Cokelat 50g,Richoco,Wafer,5500.0,5500.0,1126,5500.0,127,5097.7,908,4096.91,262,2423,12587800.0,4,6193000.0,368,698500.0,46,4626600.0,310,1069700.0,92
2025-05-05,S003,Richeese Wafer Keju 10g Renceng,Richeese,Wafer,10000.0,10000.0,1131,10000.0,148,9253.15,794,7456.65,287,2360,22273500.0,4,11310000.0,367,1480000.0,53,7341000.0,267,2142500.0,94
2025-05-05,S004,Richoco Wafer Cokelat 10g Renceng,Richoco,Wafer,10000.0,10000.0,1113,10000.0,158,9247.63,875,7453.49,332,2478,23271000.0,4,11130000.0,372,1580000.0,51,8100000.0,283,2461000.0,105
2025-05-05,S005,Nextar Brownies Pie 40g,Nextar,Kue/Pie,7000.0,7000.0,1175,7000.0,151,6451.39,685,5209.11,261,2272,15062000.0,4,8225000.0,384,1057000.0,50,4420500.0,233,1359500.0,83
2025-05-05,S006,Nextar Nastar Pie 30g,Nextar,Kue/Pie,7000.0,7000.0,1215,7000.0,161,6448.68,735,5224.54,235,2346,15603000.0,4,8505000.0,389,1127000.0,49,4741200.0,262,1229800.0,86
2025-05-05,S007,Richeese Siip Keju 20g,Richeese,Extruded Snack,3000.0,3000.0,1166,3000.0,137,2751.77,776,2221.99,278,2357,6658600.0,4,3498000.0,400,411000.0,46,2134100.0,256,615500.0,86
2025-05-05,S008,Richoco Ahh! Extruded 15g,Richoco,Extruded Snack,4500.0,4500.0,1134,4500.0,186,4158.19,750,3395.64,248,2318,9912300.0,4,5103000.0,388,837000.0,57,3128700.0,246,843600.0,82
2025-05-05,S009,Richeese Mi Instan Keju Pedas,Richeese,Mi Instan,3500.0,3500.0,1199,3500.0,116,3245.93,770,2614.51,243,2328,7735700.0,4,4196500.0,402,406000.0,43,2499400.0,261,633800.0,81
2025-05-05,S010,Richeese Mi Instan Ramen Keju,Richeese,Mi Instan,4000.0,4000.0,1114,4000.0,147,3701.63,705,2989.14,215,2181,8292000.0,4,4456000.0,387,588000.0,48,2607400.0,251,640600.0,77
2025-05-05,S011,Nabati Biskuit Rasa Kelapa,Richeese,Biskuit,5000.0,5000.0,1101,5000.0,143,4653.43,871,3744.7,261,2376,11246400.0,4,5505000.0,375,715000.0,50,4049400.0,282,977000.0,90
2025-05-05,S012,Nabati Biskuit Rasa Cokelat,Richoco,Biskuit,5000.0,5000.0,1094,5000.0,175,4641.8,834,3752.33,248,2351,11143100.0,4,5470000.0,378,875000.0,55,3869400.0,290,928700.0,91
2025-05-05,S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,4000.0,4000.0,1255,2000.0,2867,3696.68,824,2994.33,264,5210,14584800.0,4,5020000.0,411,5734000.0,963,3044400.0,260,786400.0,88
2025-05-05,S014,Nabati Drinko Richoco 150ml,Richoco,Minuman,4000.0,4000.0,1201,4000.0,76,3694.28,787,2981.84,274,2338,8837000.0,4,4804000.0,390,304000.0,28,2907600.0,260,821400.0,91
2025-05-05,S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,5500.0,5500.0,1184,5500.0,138,5093.11,789,4121.43,276,2387,12425500.0,4,6512000.0,388,759000.0,41,4019600.0,258,1134900.0,94
2025-05-05,S016,Richoco Wafer Hazelnut 50g,Richoco,Wafer,6000.0,6000.0,1209,6000.0,144,5558.7,801,4514.25,274,2428,13799100.0,4,7254000.0,397,864000.0,53,4446900.0,265,1234200.0,92
2025-05-05,S017,Nextar Choco Delight 40g,Nextar,Kue/Pie,7000.0,7000.0,1279,7000.0,155,6466.75,727,5209.89,233,2394,15947000.0,4,8953000.0,420,1085000.0,48,4699500.0,238,1209500.0,80
2025-05-05,S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,7000.0,7000.0,1272,7000.0,140,6447.86,758,5190.77,233,2403,15993600.0,4,8904000.0,425,980000.0,45,4893300.0,249,1216300.0,80
2025-05-05,S019,Richeese Siip Jagung Bakar 20g,Richeese,Extruded Snack,3000.0,3000.0,1122,3000.0,111,2747.89,819,2242.99,245,2297,6498300.0,4,3366000.0,377,333000.0,36,2251500.0,271,547800.0,79
2025-05-05,S020,Richeese Mi Instan Goreng,Richeese,Mi Instan,3500.0,3500.0,1217,3500.0,170,3247.82,856,2583.3,234,2477,8241000.0,4,4259500.0,397,595000.0,54,2782700.0,279,603800.0,82
2025-05-12,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500.0,5500.0,1081,5200.0,2923,5105.23,830,4135.74,243,5077,26386900.0,4,5945500.0,359,15199600.0,989,4237400.0,260,1004400.0,76
2025-05-12,S002,Richoco Wafer Cokelat 50g,Richoco,Wafer,5500.0,5500.0,1196,5500.0,162,5101.25,733,4108.35,258,2349,12268900.0,4,6578000.0,393,891000.0,57,3734600.0,251,1065300.0,82
2025-05-12,S003,Richeese Wafer Keju 10g Renceng,Richeese,Wafer,10000.0,10000.0,1270,10000.0,128,9249.1,832,7430.65,270,2500,23684500.0,4,12700000.0,409,1280000.0,42,7703000.0,272,2001500.0,93
2025-05-12,S004,Richoco Wafer Cokelat 10g Renceng,Richoco,Wafer,10000.0,10000.0,1273,10000.0,144,9279.98,877,7484.25,255,2549,24213500.0,4,12730000.0,431,1440000.0,47,8135500.0,287,1908000.0,79
2025-05-12,S005,Nextar Brownies Pie 40g,Nextar,Kue/Pie,7000.0,7000.0,1127,7000.0,176,6444.37,760,5230.35,256,2319,15359100.0,4,7889000.0,377,1232000.0,56,4899600.0,244,1338500.0,89
2025-05-12,S006,Nextar Nastar Pie 30g,Nextar,Kue/Pie,7000.0,7000.0,1182,7000.0,144,6444.17,714,5233.56,251,2291,15194000.0,4,8274000.0,399,1008000.0,45,4599000.0,249,1313000.0,76
2025-05-12,S007,Richeese Siip Keju 20g,Richeese,Extruded Snack,3000.0,3000.0,1260,3000.0,144,2750.69,750,2232.29,281,2435,6902600.0,4,3780000.0,415,432000.0,55,2063800.0,255,626800.0,92
2025-05-12,S008,Richoco Ahh! Extruded 15g,Richoco,Extruded Snack,4500.0,4500.0,1238,4500.0,117,4145.65,694,3401.74,240,2289,9794700.0,4,5571000.0,414,526500.0,43,2880400.0,247,816800.0,77
2025-05-12,S009,Richeese Mi Instan Keju Pedas,Richeese,Mi Instan,3500.0,3500.0,1145,3500.0,138,3246.2,762,2637.44,283,2328,7709700.0,4,4007500.0,395,483000.0,50,2473800.0,248,745400.0,98
2025-05-12,S010,Richeese Mi Instan Ramen Keju,Richeese,Mi Instan,4000.0,4000.0,1178,4000.0,170,3702.81,798,3010.74,210,2356,8982000.0,4,4712000.0,399,680000.0,54,2960200.0,253,629800.0,75
2025-05-12,S011,Nabati Biskuit Rasa Kelapa,Richeese,Biskuit,5000.0,5000.0,1096,5000.0,127,4661.16,736,3737.1,270,2229,10560900.0,4,5480000.0,376,635000.0,46,3437700.0,248,1008200.0,85
2025-05-12,S012,Nabati Biskuit Rasa Cokelat,Richoco,Biskuit,5000.0,5000.0,1263,5000.0,161,4632.68,758,3778.72,269,2451,11645700.0,4,6315000.0,397,805000.0,54,3510900.0,259,1014800.0,86
2025-05-12,S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,4000.0,4000.0,1191,2000.0,2960,3696.63,811,3015.79,244,5206,14417600.0,4,4764000.0,391,5920000.0,989,2997000.0,264,736600.0,79
2025-05-12,S014,Nabati Drinko Richoco 150ml,Richoco,Minuman,4000.0,4000.0,1280,4000.0,174,3700.55,731,3003.24,240,2425,9238800.0,4,5120000.0,416,696000.0,52,2704000.0,239,718800.0,76
2025-05-12,S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,5500.0,5500.0,1171,5500.0,124,5096.35,840,4110.05,237,2372,12379700.0,4,6440500.0,396,682000.0,49,4281000.0,286,976200.0,70
2025-05-12,S016,Richoco Wafer Hazelnut 50g,Richoco,Wafer,6000.0,6000.0,1287,6000.0,163,5550.73,649,4448.14,270,2369,13501200.0,4,7722000.0,413,978000.0,54,3598800.0,235,1202400.0,90
2025-05-12,S017,Nextar Choco Delight 40g,Nextar,Kue/Pie,7000.0,7000.0,1166,7000.0,160,6449.29,821,5233.78,271,2418,15994900.0,4,8162000.0,398,1120000.0,52,5296500.0,279,1416400.0,86
2025-05-12,S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,7000.0,7000.0,1201,7000.0,165,6462.8,733,5169.46,254,2353,15617200.0,4,8407000.0,388,1155000.0,58,4735200.0,235,1320000.0,90
2025-05-12,S019,Richeese Siip Jagung Bakar 20g,Richeese,Extruded Snack,3000.0,3000.0,1214,3000.0,127,2750.03,699,2235.82,253,2293,6509100.0,4,3642000.0,411,381000.0,48,1922100.0,242,564000.0,87
2025-05-12,S020,Richeese Mi Instan Goreng,Richeese,Mi Instan,3500.0,3500.0,1128,3500.0,144,3249.65,787,2582.9,291,2350,7761200.0,4,3948000.0,374,504000.0,48,2558000.0,254,751200.0,93
2025-05-19,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500.0,5500.0,1245,5200.0,2849,5090.21,732,4055.13,184,5010,26132900.0,4,6847500.0,394,14814800.0,952,3724000.0,250,746600.0,63
2025-05-19,S002,Richoco Wafer Cokelat 50g,Richoco,Wafer,5500.0,5500.0,1169,5500.0,153,5109.32,820,4088.33,275,2417,12584800.0,4,6429500.0,387,841500.0,52,4192000.0,280,1121800.0,86
2025-05-19,S003,Richeese Wafer Keju 10g Renceng,Richeese,Wafer,10000.0,10000.0,1253,10000.0,141,9262.19,661,7480.4,260,2315,22005500.0,4,12530000.0,417,1410000.0,46,6123500.0,216,1942000.0,91
2025-05-19,S004,Richoco Wafer Cokelat 10g Renceng,Richoco,Wafer,10000.0,10000.0,1266,10000.0,134,9252.94,784,7561.03,261,2445,23227000.0,4,12660000.0,408,1340000.0,43,7255500.0,254,1971500.0,90
2025-05-19,S005,Nextar Brownies Pie 40g,Nextar,Kue/Pie,7000.0,7000.0,1208,7000.0,114,6450.39,811,5154.84,235,2368,15697500.0,4,8456000.0,408,798000.0,43,5229600.0,258,1213900.0,76
2025-05-19,S006,Nextar Nastar Pie 30g,Nextar,Kue/Pie,7000.0,7000.0,1212,7000.0,129,6429.9,731,5174.32,280,2352,15538200.0,4,8484000.0,389,903000.0,48,4698300.0,238,1452900.0,92
2025-05-19,S007,Richeese Siip Keju 20g,Richeese,Extruded Snack,3000.0,3000.0,1209,3000.0,109,2750.9,824,2241.95,235,2377,6746500.0,4,3627000.0,401,327000.0,40,2263800.0,276,528700.0,81
2025-05-19,S008,Richoco Ahh! Extruded 15g,Richoco,Extruded Snack,4500.0,4500.0,1174,4500.0,161,4153.3,734,3376.47,226,2295,9818100.0,4,5283000.0,396,724500.0,50,3045200.0,244,765400.0,72
2025-05-19,S009,Richeese Mi Instan Keju Pedas,Richeese,Mi Instan,3500.0,3500.0,1148,3500.0,141,3248.71,765,2589.13,247,2301,7635800.0,4,4018000.0,384,493500.0,50,2484700.0,252,639600.0,82
2025-05-19,S010,Richeese Mi Instan Ramen Keju,Richeese,Mi Instan,4000.0,4000.0,1165,4000.0,149,3698.92,856,2969.29,217,2387,9063600.0,4,4660000.0,400,596000.0,52,3164400.0,291,643200.0,82
2025-05-19,S011,Nabati Biskuit Rasa Kelapa,Richeese,Biskuit,5000.0,5000.0,1134,5000.0,106,4651.81,659,3774.93,229,2128,10139200.0,4,5670000.0,378,530000.0,34,3071100.0,217,868100.0,79
2025-05-19,S012,Nabati Biskuit Rasa Cokelat,Richoco,Biskuit,5000.0,5000.0,1109,5000.0,126,4662.65,702,3714.63,244,2181,10359800.0,4,5545000.0,376,630000.0,42,3279000.0,247,905800.0,80
2025-05-19,S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,4000.0,4000.0,1199,2000.0,2926,3701.35,692,2993.34,235,5052,13910600.0,4,4796000.0,397,5852000.0,952,2560000.0,229,702600.0,81
2025-05-19,S014,Nabati Drinko Richoco 150ml,Richoco,Minuman,4000.0,4000.0,1191,4000.0,119,3697.37,746,2981.23,267,2323,8793200.0,4,4764000.0,385,476000.0,37,2758400.0,253,794800.0,95
2025-05-19,S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,5500.0,5500.0,1224,5500.0,158,5104.25,826,4110.77,215,2423,12698800.0,4,6732000.0,386,869000.0,49,4215400.0,267,882400.0,82
2025-05-19,S016,Richoco Wafer Hazelnut 50g,Richoco,Wafer,6000.0,6000.0,1297,6000.0,120,5559.93,766,4496.98,278,2461,13995000.0,4,7782000.0,418,720000.0,46,4249800.0,261,1243200.0,96
2025-05-19,S017,Nextar Choco Delight 40g,Nextar,Kue/Pie,7000.0,7000.0,1117,7000.0,127,6451.05,813,5276.87,232,2289,15178100.0,4,7819000.0,384,889000.0,48,5244000.0,270,1226100.0,79
2025-05-19,S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,7000.0,7000.0,1161,7000.0,179,6460.22,816,5203.68,239,2395,15895000.0,4,8127000.0,371,1253000.0,52,5271300.0,268,1243700.0,77
2025-05-19,S019,Richeese Siip Jagung Bakar 20g,Richeese,Extruded Snack,3000.0,3000.0,1090,3000.0,140,2751.47,755,2215.81,260,2245,6344500.0,4,3270000.0,367,420000.0,43,2079200.0,271,575300.0,83
2025-05-19,S020,Richeese Mi Instan Goreng,Richeese,Mi Instan,3500.0,3500.0,1159,3500.0,174,3249.41,796,2604.67,224,2353,7837200.0,4,4056500.0,386,609000.0,50,2585500.0,247,586200.0,74
2025-05-26,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500.0,5500.0,1008,5200.0,2619,5102.39,648,4126.52,260,4535,23545100.0,4,5544000.0,334,13618800.0,878,3307600.0,215,1074700.0,87
2025-05-26,S002,Richoco Wafer Cokelat 50g,Richoco,Wafer,5500.0,5500.0,1000,5500.0,129,5096.01,597,4075.49,209,1935,10104200.0,4,5500000.0,345,709500.0,44,3042600.0,206,852100.0,73
2025-05-26,S003,Richeese Wafer Keju 10g Renceng,Richeese,Wafer,10000.0,10000.0,943,10000.0,129,9232.42,640,7490.97,191,1903,18057000.0,4,9430000.0,319,1290000.0,45,5908000.0,215,1429000.0,66
2025-05-26,S004,Richoco Wafer Cokelat 10g Renceng,Richoco,Wafer,10000.0,10000.0,955,10000.0,118,9241.09,635,7516.04,237,1945,18385000.0,4,9550000.0,322,1180000.0,39,5872000.0,205,1783000.0,81
2025-05-26,S005,Nextar Brownies Pie 40g,Nextar,Kue/Pie,7000.0,7000.0,982,7000.0,118,6469.71,644,5258.45,260,2004,13235400.0,4,6874000.0,347,826000.0,39,4162800.0,205,1372600.0,85
2025-05-26,S006,Nextar Nastar Pie 30g,Nextar,Kue/Pie,7000.0,7000.0,1102,7000.0,124,6447.49,631,5229.49,243,2100,13921900.0,4,7714000.0,366,868000.0,42,4066500.0,211,1273400.0,81
2025-05-26,S007,Richeese Siip Keju 20g,Richeese,Extruded Snack,3000.0,3000.0,1035,3000.0,143,2748.2,666,2226.49,293,2137,6015300.0,4,3105000.0,341,429000.0,48,1830800.0,228,650500.0,92
2025-05-26,S008,Richoco Ahh! Extruded 15g,Richoco,Extruded Snack,4500.0,4500.0,954,4500.0,126,4141.93,657,3354.42,206,1943,8268000.0,4,4293000.0,311,567000.0,44,2717400.0,228,690600.0,74
2025-05-26,S009,Richeese Mi Instan Keju Pedas,Richeese,Mi Instan,3500.0,3500.0,1015,3500.0,166,3250.75,719,2580.99,247,2147,7106100.0,4,3552500.0,362,581000.0,55,2337400.0,237,635200.0,76
2025-05-26,S010,Richeese Mi Instan Ramen Keju,Richeese,Mi Instan,4000.0,4000.0,975,4000.0,136,3709.04,631,3012.69,217,1959,7445400.0,4,3900000.0,337,544000.0,48,2343200.0,222,658200.0,77
2025-05-26,S011,Nabati Biskuit Rasa Kelapa,Richeese,Biskuit,5000.0,5000.0,1033,5000.0,119,4642.89,662,3775.82,258,2072,9795900.0,4,5165000.0,350,595000.0,46,3067800.0,223,968100.0,82
2025-05-26,S012,Nabati Biskuit Rasa Cokelat,Richoco,Biskuit,5000.0,5000.0,971,5000.0,146,4642.14,650,3740.88,187,1954,9301300.0,4,4855000.0,329,730000.0,47,3015300.0,214,701000.0,65
2025-05-26,S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,4000.0,4000.0,1003,2000.0,2682,3702.29,595,2978.66,271,4551,12388600.0,4,4012000.0,338,5364000.0,878,2206000.0,212,806600.0,81
2025-05-26,S014,Nabati Drinko Richoco 150ml,Richoco,Minuman,4000.0,4000.0,924,4000.0,127,3707.6,654,2991.69,229,1934,7319800.0,4,3696000.0,320,508000.0,47,2428800.0,222,687000.0,80
2025-05-26,S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,5500.0,5500.0,1025,5500.0,121,5109.18,617,4078.87,200,1963,10268300.0,4,5637500.0,342,665500.0,42,3150400.0,207,814900.0,61
2025-05-26,S016,Richoco Wafer Hazelnut 50g,Richoco,Wafer,6000.0,6000.0,1100,6000.0,171,5551.95,697,4466.63,194,2162,12359700.0,4,6600000.0,365,1026000.0,50,3867300.0,239,866400.0,71
2025-05-26,S017,Nextar Choco Delight 40g,Nextar,Kue/Pie,7000.0,7000.0,1001,7000.0,133,6462.68,632,5231.61,214,1980,13143200.0,4,7007000.0,367,931000.0,45,4084500.0,215,1120700.0,74
2025-05-26,S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,7000.0,7000.0,1012,7000.0,124,6466.27,636,5253.77,207,1979,13146500.0,4,7084000.0,324,868000.0,41,4108800.0,214,1085700.0,69
2025-05-26,S019,Richeese Siip Jagung Bakar 20g,Richeese,Extruded Snack,3000.0,3000.0,1109,3000.0,77,2752.55,662,2229.17,186,2034,5794400.0,4,3327000.0,362,231000.0,30,1821600.0,226,414800.0,58
2025-05-26,S020,Richeese Mi Instan Goreng,Richeese,Mi Instan,3500.0,3500.0,1068,3500.0,160,3247.36,629,2586.69,194,2051,6841700.0,4,3738000.0,348,560000.0,50,2041300.0,196,502400.0,76
2025-06-02,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500.0,5500.0,1320,5200.0,3220,5103.45,931,4090.98,280,5751,29901500.0,4,7260000.0,460,16744000.0,1104,4752800.0,305,1144700.0,91
2025-06-02,S002,Richoco Wafer Cokelat 50g,Richoco,Wafer,5500.0,5500.0,1395,5500.0,171,5112.34,875,4099.93,302,2743,14327900.0,4,7672500.0,471,940500.0,60,4474600.0,304,1240300.0,102
2025-06-02,S003,Richeese Wafer Keju 10g Renceng,Richeese,Wafer,10000.0,10000.0,1385,10000.0,213,9260.55,903,7455.37,325,2826,26755000.0,4,13850000.0,459,2130000.0,73,8352000.0,291,2423000.0,108
2025-06-02,S004,Richoco Wafer Cokelat 10g Renceng,Richoco,Wafer,10000.0,10000.0,1355,10000.0,208,9259.55,792,7527.7,332,2687,25451000.0,4,13550000.0,444,2080000.0,67,7333000.0,276,2488000.0,105
2025-06-02,S005,Nextar Brownies Pie 40g,Nextar,Kue/Pie,7000.0,7000.0,1319,7000.0,115,6461.84,855,5259.54,310,2599,17192900.0,4,9233000.0,430,805000.0,38,5522100.0,292,1632800.0,100
2025-06-02,S006,Nextar Nastar Pie 30g,Nextar,Kue/Pie,7000.0,7000.0,1253,7000.0,149,6454.24,970,5238.28,264,2636,17454300.0,4,8771000.0,401,1043000.0,52,6260400.0,322,1379900.0,85
2025-06-02,S007,Richeese Siip Keju 20g,Richeese,Extruded Snack,3000.0,3000.0,1253,3000.0,158,2746.75,826,2230.83,271,2508,7106100.0,4,3759000.0,418,474000.0,52,2269500.0,265,603600.0,94
2025-06-02,S008,Richoco Ahh! Extruded 15g,Richoco,Extruded Snack,4500.0,4500.0,1266,4500.0,169,4147.19,918,3396.3,324,2677,11362900.0,4,5697000.0,425,760500.0,57,3804600.0,319,1100800.0,100
2025-06-02,S009,Richeese Mi Instan Keju Pedas,Richeese,Mi Instan,3500.0,3500.0,1465,3500.0,162,3250.11,859,2631.95,287,2773,9243800.0,4,5127500.0,490,567000.0,58,2793500.0,283,755800.0,97
2025-06-02,S010,Richeese Mi Instan Ramen Keju,Richeese,Mi Instan,4000.0,4000.0,1276,4000.0,169,3695.62,879,3007.08,294,2618,9905800.0,4,5104000.0,406,676000.0,52,3246200.0,290,879600.0,98
2025-06-02,S011,Nabati Biskuit Rasa Kelapa,Richeese,Biskuit,5000.0,5000.0,1320,5000.0,159,4660.61,978,3748.45,286,2743,13019000.0,4,6600000.0,449,795000.0,53,4549800.0,325,1074200.0,91
2025-06-02,S012,Nabati Biskuit Rasa Cokelat,Richoco,Biskuit,5000.0,5000.0,1375,5000.0,121,4633.5,922,3796.99,298,2716,12888400.0,4,6875000.0,446,605000.0,40,4271400.0,297,1137000.0,98
2025-06-02,S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,4000.0,4000.0,1300,2000.0,3307,3705.62,987,2983.82,244,5838,16202000.0,4,5200000.0,436,6614000.0,1104,3660400.0,318,727600.0,89
2025-06-02,S014,Nabati Drinko Richoco 150ml,Richoco,Minuman,4000.0,4000.0,1167,4000.0,210,3702.32,1057,2995.54,324,2758,10386800.0,4,4668000.0,389,840000.0,64,3912800.0,346,966000.0,105
2025-06-02,S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,5500.0,5500.0,1348,5500.0,184,5108.22,811,4101.17,324,2667,13901800.0,4,7414000.0,458,1012000.0,56,4146200.0,271,1329600.0,104
2025-06-02,S016,Richoco Wafer Hazelnut 50g,Richoco,Wafer,6000.0,6000.0,1252,6000.0,170,5570.42,979,4498.76,300,2701,15332700.0,4,7512000.0,418,1020000.0,56,5450400.0,316,1350300.0,99
2025-06-02,S017,Nextar Choco Delight 40g,Nextar,Kue/Pie,7000.0,7000.0,1295,7000.0,137,6430.33,861,5258.1,280,2573,17029200.0,4,9065000.0,452,959000.0,48,5534100.0,286,1471100.0,86
2025-06-02,S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,7000.0,7000.0,1414,7000.0,194,6449.26,924,5187.16,333,2865,18947200.0,4,9898000.0,457,1358000.0,63,5959500.0,301,1731700.0,102
2025-06-02,S019,Richeese Siip Jagung Bakar 20g,Richeese,Extruded Snack,3000.0,3000.0,1334,3000.0,155,2748.73,798,2243.39,286,2573,7304000.0,4,4002000.0,444,465000.0,60,2195000.0,265,642000.0,103
