Date,Branch,Promo_Category,SKU_ID,SKU,Brand,SKU_Category,NormalPrice,EffectivePrice,MinEffectivePrice,MaxEffectivePrice,DiscountPct,Qty,Revenue,Transactions,Customers,prev_effective_price,prev_promo_category,price_change,price_change_pct
2025-05-03,Bandung,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4100,3800,4400,25.0,7,29000,2,2,5100.0,Promo Normal,-1000.0,-19.61
2025-05-03,Jakarta,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,102,561000,34,34,4200.0,Promo Seasonal High,1300.0,30.95
2025-05-03,Jakarta,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,218,1133600,66,66,5500.0,No Promo,-300.0,-5.45
2025-05-03,Jakarta,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5114,5000,5200,7.14,45,230200,14,14,5200.0,Promo Bundling,-86.0,-1.65
2025-05-03,Jakarta,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4229,3800,4400,22.86,19,80900,7,7,5114.0,Promo Normal,-885.0,-17.31
2025-05-03,Semarang,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,18,99000,8,8,3950.0,Promo Seasonal High,1550.0,39.24
2025-05-03,Semarang,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,54,280800,18,18,5500.0,No Promo,-300.0,-5.45
2025-05-03,Semarang,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5100,5000,5200,7.5,11,56200,4,4,5200.0,Promo Bundling,-100.0,-1.92
2025-05-03,Semarang,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4100,4100,4100,25.0,7,28700,2,2,5100.0,Promo Normal,-1000.0,-19.61
2025-05-03,Surabaya,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,35,192500,12,12,4000.0,Promo Seasonal High,1500.0,37.5
2025-05-03,Surabaya,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,112,582400,35,35,5500.0,No Promo,-300.0,-5.45
2025-05-03,Surabaya,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5050,5000,5200,8.75,21,106400,8,8,5200.0,Promo Bundling,-150.0,-2.88
2025-05-03,Surabaya,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,3950,3800,4100,27.5,18,70800,6,6,5050.0,Promo Normal,-1100.0,-21.78
2025-05-04,Bandung,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,20,110000,8,8,4100.0,Promo Seasonal High,1400.0,34.15
2025-05-04,Bandung,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,60,312000,18,18,5500.0,No Promo,-300.0,-5.45
2025-05-04,Bandung,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5050,5000,5200,8.75,14,71000,4,4,5200.0,Promo Bundling,-150.0,-2.88
2025-05-04,Bandung,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4100,3800,4400,25.0,7,28400,2,2,5050.0,Promo Normal,-950.0,-18.81
2025-05-04,Jakarta,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,86,473000,26,26,4229.0,Promo Seasonal High,1271.0,30.05
2025-05-04,Jakarta,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,229,1190800,72,72,5500.0,No Promo,-300.0,-5.45
2025-05-04,Jakarta,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5083,5000,5200,7.92,81,412800,24,24,5200.0,Promo Bundling,-117.0,-2.25
2025-05-04,Jakarta,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,3920,3800,4100,28.0,18,70500,5,5,5083.0,Promo Normal,-1163.0,-22.88
2025-05-04,Semarang,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,5,27500,2,2,4100.0,Promo Seasonal High,1400.0,34.15
2025-05-04,Semarang,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,51,265200,15,15,5500.0,No Promo,-300.0,-5.45
2025-05-04,Semarang,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,10,52000,3,3,5200.0,Promo Bundling,0.0,0.0
2025-05-04,Semarang,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4400,4400,4400,20.0,3,13200,1,1,5200.0,Promo Normal,-800.0,-15.38
2025-05-04,Surabaya,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,45,247500,15,15,3950.0,Promo Seasonal High,1550.0,39.24
2025-05-04,Surabaya,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,130,676000,49,49,5500.0,No Promo,-300.0,-5.45
2025-05-04,Surabaya,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5067,5000,5200,8.33,35,177200,9,9,5200.0,Promo Bundling,-133.0,-2.56
2025-05-04,Surabaya,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,3900,3800,4100,28.33,6,24000,3,3,5067.0,Promo Normal,-1167.0,-23.03
2025-05-05,Bandung,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,11,60500,5,5,4100.0,Promo Seasonal High,1400.0,34.15
2025-05-05,Bandung,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,48,249600,17,17,5500.0,No Promo,-300.0,-5.45
2025-05-05,Bandung,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5000,5000,5000,10.0,9,45000,2,2,5200.0,Promo Bundling,-200.0,-3.85
2025-05-05,Bandung,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4100,3800,4400,25.0,11,44800,3,3,5000.0,Promo Normal,-900.0,-18.0
2025-05-05,Jakarta,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,77,423500,29,29,3920.0,Promo Seasonal High,1580.0,40.31
2025-05-05,Jakarta,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,214,1112800,71,71,5500.0,No Promo,-300.0,-5.45
2025-05-05,Jakarta,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5057,5000,5200,8.57,35,176800,14,14,5200.0,Promo Bundling,-143.0,-2.75
2025-05-05,Jakarta,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4220,3800,4400,23.0,34,144200,10,10,5057.0,Promo Normal,-837.0,-16.55
2025-05-05,Semarang,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,21,115500,5,5,4400.0,Promo Seasonal High,1100.0,25.0
2025-05-05,Semarang,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,35,182000,11,11,5500.0,No Promo,-300.0,-5.45
2025-05-05,Semarang,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,2,10400,2,2,5200.0,Promo Bundling,0.0,0.0
2025-05-05,Surabaya,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,45,247500,15,15,3900.0,Promo Seasonal High,1600.0,41.03
2025-05-05,Surabaya,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,72,374400,26,26,5500.0,No Promo,-300.0,-5.45
2025-05-05,Surabaya,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5114,5000,5200,7.14,22,113000,7,7,5200.0,Promo Bundling,-86.0,-1.65
2025-05-05,Surabaya,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4133,3800,4400,24.44,34,140900,9,9,5114.0,Promo Normal,-981.0,-19.18
2025-05-06,Bandung,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,24,132000,8,8,4100.0,Promo Seasonal High,1400.0,34.15
2025-05-06,Bandung,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,77,400400,28,28,5500.0,No Promo,-300.0,-5.45
2025-05-06,Bandung,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5150,5000,5200,6.25,15,77200,4,4,5200.0,Promo Bundling,-50.0,-0.96
2025-05-06,Jakarta,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,88,484000,29,29,4220.0,Promo Seasonal High,1280.0,30.33
2025-05-06,Jakarta,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,168,873600,56,56,5500.0,No Promo,-300.0,-5.45
2025-05-06,Jakarta,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5100,5000,5200,7.5,48,244600,18,18,5200.0,Promo Bundling,-100.0,-1.92
2025-05-06,Jakarta,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4050,3800,4400,25.83,12,47700,6,6,5100.0,Promo Normal,-1050.0,-20.59
2025-05-06,Semarang,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,10,55000,5,5,5200.0,Promo Normal,300.0,5.77
2025-05-06,Semarang,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,53,275600,19,19,5500.0,No Promo,-300.0,-5.45
2025-05-06,Semarang,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5100,5000,5200,7.5,24,122800,6,6,5200.0,Promo Bundling,-100.0,-1.92
2025-05-06,Semarang,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4100,3800,4400,25.0,8,33400,2,2,5100.0,Promo Normal,-1000.0,-19.61
2025-05-06,Surabaya,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,26,143000,10,10,4133.0,Promo Seasonal High,1367.0,33.08
2025-05-06,Surabaya,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,132,686400,44,44,5500.0,No Promo,-300.0,-5.45
2025-05-06,Surabaya,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5117,5000,5200,7.08,41,209600,12,12,5200.0,Promo Bundling,-83.0,-1.6
2025-05-06,Surabaya,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,3800,3800,3800,30.0,8,30400,2,2,5117.0,Promo Normal,-1317.0,-25.74
2025-05-07,Bandung,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,15,82500,5,5,5150.0,Promo Normal,350.0,6.8
2025-05-07,Bandung,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,54,280800,19,19,5500.0,No Promo,-300.0,-5.45
2025-05-07,Bandung,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5057,5000,5200,8.57,16,80400,7,7,5200.0,Promo Bundling,-143.0,-2.75
2025-05-07,Bandung,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4250,4100,4400,22.5,8,34300,2,2,5057.0,Promo Normal,-807.0,-15.96
2025-05-07,Jakarta,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,62,341000,22,22,4050.0,Promo Seasonal High,1450.0,35.8
2025-05-07,Jakarta,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,181,941200,54,54,5500.0,No Promo,-300.0,-5.45
2025-05-07,Jakarta,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5067,5000,5200,8.33,85,430800,24,24,5200.0,Promo Bundling,-133.0,-2.56
2025-05-07,Jakarta,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4212,3800,4400,23.12,26,109900,8,8,5067.0,Promo Normal,-855.0,-16.87
2025-05-07,Semarang,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,7,38500,2,2,4100.0,Promo Seasonal High,1400.0,34.15
2025-05-07,Semarang,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,60,312000,17,17,5500.0,No Promo,-300.0,-5.45
2025-05-07,Semarang,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5100,5000,5200,7.5,20,102200,6,6,5200.0,Promo Bundling,-100.0,-1.92
2025-05-07,Surabaya,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,27,148500,9,9,3800.0,Promo Seasonal High,1700.0,44.74
2025-05-07,Surabaya,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,100,520000,32,32,5500.0,No Promo,-300.0,-5.45
2025-05-07,Surabaya,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5067,5000,5200,8.33,28,141400,9,9,5200.0,Promo Bundling,-133.0,-2.56
2025-05-07,Surabaya,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,3950,3800,4100,27.5,4,15800,2,2,5067.0,Promo Normal,-1117.0,-22.04
2025-05-08,Bandung,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,24,132000,10,10,4250.0,Promo Seasonal High,1250.0,29.41
2025-05-08,Bandung,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,73,379600,22,22,5500.0,No Promo,-300.0,-5.45
2025-05-08,Bandung,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5143,5000,5200,6.43,23,118400,7,7,5200.0,Promo Bundling,-57.0,-1.1
2025-05-08,Bandung,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4100,4100,4100,25.0,11,45100,3,3,5143.0,Promo Normal,-1043.0,-20.28
2025-05-08,Jakarta,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,72,396000,21,21,4212.0,Promo Seasonal High,1288.0,30.58
2025-05-08,Jakarta,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,191,993200,64,64,5500.0,No Promo,-300.0,-5.45
2025-05-08,Jakarta,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5062,5000,5200,8.46,32,162200,13,13,5200.0,Promo Bundling,-138.0,-2.65
2025-05-08,Jakarta,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,3950,3800,4400,27.5,23,91900,6,6,5062.0,Promo Normal,-1112.0,-21.97
2025-05-08,Semarang,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,23,126500,9,9,5100.0,Promo Normal,400.0,7.84
2025-05-08,Semarang,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,62,322400,22,22,5500.0,No Promo,-300.0,-5.45
2025-05-08,Semarang,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5067,5000,5200,8.33,27,136600,6,6,5200.0,Promo Bundling,-133.0,-2.56
2025-05-08,Semarang,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,3950,3800,4100,27.5,4,15800,2,2,5067.0,Promo Normal,-1117.0,-22.04
2025-05-08,Surabaya,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,47,258500,16,16,3950.0,Promo Seasonal High,1550.0,39.24
2025-05-08,Surabaya,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,95,494000,30,30,5500.0,No Promo,-300.0,-5.45
2025-05-08,Surabaya,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5071,5000,5200,8.24,47,238600,17,17,5200.0,Promo Bundling,-129.0,-2.48
2025-05-08,Surabaya,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4000,3800,4400,26.67,6,23400,3,3,5071.0,Promo Normal,-1071.0,-21.12
2025-05-09,Bandung,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,30,165000,10,10,4100.0,Promo Seasonal High,1400.0,34.15
2025-05-09,Bandung,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,49,254800,18,18,5500.0,No Promo,-300.0,-5.45
2025-05-09,Bandung,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5100,5000,5200,7.5,13,67000,6,6,5200.0,Promo Bundling,-100.0,-1.92
2025-05-09,Bandung,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4175,3800,4400,23.75,12,51000,4,4,5100.0,Promo Normal,-925.0,-18.14
2025-05-09,Jakarta,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,100,550000,33,33,3950.0,Promo Seasonal High,1550.0,39.24
2025-05-09,Jakarta,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,189,982800,67,67,5500.0,No Promo,-300.0,-5.45
2025-05-09,Jakarta,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5082,5000,5200,7.94,54,274600,17,17,5200.0,Promo Bundling,-118.0,-2.27
2025-05-09,Jakarta,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4175,3800,4400,23.75,26,109900,8,8,5082.0,Promo Normal,-907.0,-17.85
2025-05-09,Semarang,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,24,132000,7,7,3950.0,Promo Seasonal High,1550.0,39.24
2025-05-09,Semarang,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,42,218400,15,15,5500.0,No Promo,-300.0,-5.45
2025-05-09,Surabaya,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,52,286000,16,16,4000.0,Promo Seasonal High,1500.0,37.5
2025-05-09,Surabaya,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,109,566800,39,39,5500.0,No Promo,-300.0,-5.45
2025-05-09,Surabaya,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5091,5000,5200,7.73,31,157200,11,11,5200.0,Promo Bundling,-109.0,-2.1
2025-05-09,Surabaya,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,4175,4100,4400,23.75,7,29000,4,4,5091.0,Promo Normal,-916.0,-17.99
2025-05-10,Bandung,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,19,104500,9,9,4175.0,Promo Seasonal High,1325.0,31.74
2025-05-10,Bandung,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,59,306800,16,16,5500.0,No Promo,-300.0,-5.45
2025-05-10,Bandung,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5120,5000,5200,7.0,25,127600,10,10,5200.0,Promo Bundling,-80.0,-1.54
2025-05-10,Jakarta,No Promo,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5500,5500,5500,0.0,84,462000,26,26,4175.0,Promo Seasonal High,1325.0,31.74
2025-05-10,Jakarta,Promo Bundling,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5200,5200,5200,5.0,169,878800,53,53,5500.0,No Promo,-300.0,-5.45
2025-05-10,Jakarta,Promo Normal,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,5073,5000,5200,8.18,70,356200,22,22,5200.0,Promo Bundling,-127.0,-2.44
2025-05-10,Jakarta,Promo Seasonal High,S001,Richeese Wafer Keju 50g,Richeese,Wafer,5500,3800,3800,3800,30.0,6,22800,2,2,5073.0,Promo Normal,-1273.0,-25.09
