SKU_Category,SKU_A,SKU_A_Name,Brand_A,SKU_B,SKU_B_Name,Brand_B,coef_disc_A,p_value,r_squared,n_obs,cv_disc_A,skew,norm_flag,hetero_flag,cv_flag,reliability,verdict
Wafer,S004,Richoco Wafer Cokelat 10g Renceng,Richoco,S016,Richoco Wafer Hazelnut 50g,Richoco,-0.2513,0.0019,0.8503,2924,343.74,-0.308,PASS,PASS,PASS,RELIABLE,CANNIBALIZATION
Wafer,S015,Richeese Wafer Pink Lava 50g,Richeese,S001,Richeese Wafer Keju 50g,Richeese,-0.3724,0.0,0.847,2924,317.79,-0.374,PASS,WARN: p=0.004,PASS,UNRELIABLE,CANNIBALIZATION
Wafer,S015,Richeese Wafer Pink Lava 50g,Richeese,S002,Richoco Wafer Cokelat 50g,Richoco,0.1222,0.1068,0.8606,2924,317.79,-0.26,PASS,PASS,PASS,RELIABLE,Tidak Signifikan
Wafer,S015,Richeese Wafer Pink Lava 50g,Richeese,S003,Richeese Wafer Keju 10g Renceng,Richeese,-0.3246,0.0,0.8497,2924,317.79,-0.211,PASS,WARN: p=0.000,PASS,UNRELIABLE,CANNIBALIZATION
Wafer,S015,Richeese Wafer Pink Lava 50g,Richeese,S004,Richoco Wafer Cokelat 10g Renceng,Richoco,-0.1357,0.0904,0.8523,2924,317.79,-0.214,PASS,PASS,PASS,RELIABLE,Tidak Signifikan
Wafer,S015,Richeese Wafer Pink Lava 50g,Richeese,S016,Richoco Wafer Hazelnut 50g,Richoco,-0.0758,0.3395,0.8498,2924,317.79,-0.297,PASS,PASS,PASS,RELIABLE,Tidak Signifikan
Wafer,S016,Richoco Wafer Hazelnut 50g,Richoco,S001,Richeese Wafer Keju 50g,Richeese,0.8752,0.0,0.8522,2924,311.75,-0.412,PASS,PASS,PASS,RELIABLE,KOMPLEMEN
Wafer,S016,Richoco Wafer Hazelnut 50g,Richoco,S002,Richoco Wafer Cokelat 50g,Richoco,0.3371,0.0,0.8615,2924,311.75,-0.257,PASS,PASS,PASS,RELIABLE,KOMPLEMEN
Wafer,S016,Richoco Wafer Hazelnut 50g,Richoco,S003,Richeese Wafer Keju 10g Renceng,Richeese,0.3236,0.0,0.8497,2924,311.75,-0.194,PASS,WARN: p=0.000,PASS,UNRELIABLE,KOMPLEMEN
Wafer,S016,Richoco Wafer Hazelnut 50g,Richoco,S004,Richoco Wafer Cokelat 10g Renceng,Richoco,0.3432,0.0,0.8531,2924,311.75,-0.208,PASS,PASS,PASS,RELIABLE,KOMPLEMEN
Wafer,S016,Richoco Wafer Hazelnut 50g,Richoco,S015,Richeese Wafer Pink Lava 50g,Richeese,0.4198,0.0,0.8526,2924,311.75,-0.094,PASS,WARN: p=0.001,PASS,UNRELIABLE,KOMPLEMEN
